SM,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
Time Interval,Jeepney Route,Stopped (Y/N),Boarding Passengers,Fullness,Waiting Passengers
6:00 – 6:15 AM,TAHAO ROAD,Y,5,F,25
,TAHAO ROAD,N,0,E,
,RAWIS A,Y,3,P,
,TAHAO ROAD,Y,4,F,
,DIRETSO,Y,2,P,
,TAHAO ROAD,N,0,E,
,POLANGUI,N,0,F,
,MALABOG,Y,2,P,
,RAWIS A,Y,3,P,
,TAHAO ROAD,Y,5,P,
,DIRETSO,N,0,P,
6:15 – 6:30 AM,TAHAO ROAD,Y,6,P,29
,DIRETSO,Y,3,P,
,OAS,N,0,F,
,POLANGUI,Y,2,P,
,TAHAO ROAD,Y,5,E,
,MALABOG,Y,3,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,2,P,
,RAWIS A,Y,4,P,
,TAHAO ROAD,Y,6,P,
,CAMALIG,N,0,P,
6:30 – 6:45 AM,TAHAO ROAD,Y,7,P,36
,TAHAO ROAD,Y,6,E,
,RAWIS A,Y,3,P,
,DIRETSO,Y,4,P,
,MALABOG,Y,2,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,Y,2,P,
,TAHAO ROAD,Y,5,P,
,DIRETSO,N,0,F,
,RAWIS B,Y,3,P,
,LIGAO,N,0,P,
6:45 – 7:00 AM,TAHAO ROAD,Y,8,P,40
,TAHAO ROAD,Y,7,E,
,DIRETSO,Y,4,P,
,RAWIS A,Y,4,P,
,TAHAO ROAD,N,0,F,
,MALABOG,Y,3,P,
,POLANGUI,Y,3,P,
,TAHAO ROAD,Y,6,P,
,RAWIS B,Y,4,P,
,OAS,Y,2,P,
,DIRETSO,N,0,F,
7:00 – 7:15 AM,TAHAO ROAD,Y,9,P,30
,RAWIS B,Y,7,E,
,TAHAO ROAD,Y,8,P,
,POLANGUI,Y,3,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,3,P,
,MALABOG,Y,2,P,
,TAHAO ROAD,Y,6,P,
,RAWIS A,Y,3,P,
,TABACO,Y,2,P,
7:15 – 7:30 AM,TAHAO ROAD,Y,8,P,18
,POLANGUI,Y,4,P,
,TAHAO ROAD,N,0,F,
,RAWIS B,Y,5,P,
,TAHAO ROAD,Y,6,E,
,DIRETSO,N,0,P,
,MALABOG,Y,2,P,
,RAWIS A,Y,2,P,
,TAHAO ROAD,Y,5,P,
7:30 – 7:45 AM,TAHAO ROAD,Y,7,E,23
,RAWIS A,Y,5,P,
,TABACO,Y,3,F,
,MALABOG,Y,3,P,
,TAHAO ROAD,Y,6,E,
,OAS,Y,3,P,
,TAHAO ROAD,N,0,F,
,STO DOMINGO,Y,2,P,
,POLANGUI,Y,2,F,
,TAHAO ROAD,Y,4,P,
7:45 – 8:00 AM,TAHAO ROAD,Y,6,P,14
,TAHAO ROAD,Y,5,P,
,DIRETSO,N,0,F,
,RAWIS A,Y,2,P,
