ROTUNDA,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
,L2,Y,9,P,
,Diretso,Y,13,P,
,Diretso,Y,16,E,
,L2,Y,7,P,
,Diretso,Y,11,P,
,RAWIS A,N,,F,
,Diretso,Y,12,P,
,L2,N,,F,
,Diretso,Y,14,E,
5:00 - 5:15,Diretso,Y,18,E,57
,L2,Y,11,P,
,Diretso,Y,14,E,
,Diretso,N,,F,
,RAWIS A,Y,6,P,
,L2,Y,8,P,
,Diretso,Y,12,P,
,Diretso,Y,13,E,
,L2,N,,F,
,Diretso,Y,10,P,
,Diretso,Y,9,P,
,L2,Y,7,P,
5:15 - 5:30,Diretso,Y,13,P,41
,L2,Y,7,P,
,Diretso,Y,11,E,
,RAWIS A,N,,F,
,Diretso,N,,F,
,L2,Y,6,P,
,Diretso,Y,9,P,
,Diretso,Y,8,P,
,L2,N,,P,
,Diretso,Y,7,P,
,Diretso,Y,10,E,
5:30 - 5:45,Diretso,Y,9,P,26
,L2,Y,5,P,
,Diretso,Y,7,P,
,RAWIS B,Y,3,P,
,Diretso,Y,6,P,
,L2,N,,P,
,Diretso,Y,8,E,
,Diretso,Y,5,P,
,L2,Y,4,P,
,Diretso,Y,7,P,
5:45 - 6:00,Diretso,Y,7,E,16
,L2,Y,4,P,
,Diretso,Y,5,P,
,Diretso,Y,4,P,
,RAWIS A,Y,2,P,
,L2,Y,3,P,
,Diretso,Y,5,E,
