DARAGA PUBLIC MARKET,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00 – 6:15 AM,TAHAO ROAD,Y,4,P,25
,RAWIS B,Y,3,P,
,ALTERNATE,Y,2,P,
,DIRETSO,Y,3,P,
,TAHAO ROAD,Y,5,E,
,RAWIS A,Y,2,P,
,POLANGUI,N,0,F,
,L1,Y,1,P,
,GUINOBATAN,Y,1,P,
,TAHAO ROAD,N,0,F,
,OAS,N,0,F,
,CAMALIG,N,0,P,
,RAWIS B,Y,2,P,
,TAHAO ROAD,Y,6,E,
,ALTERNATE,Y,3,P,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,4,P,
,RAWIS A,N,0,F,
6:15 – 6:30 AM,TAHAO ROAD,Y,6,E,20
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,RAWIS B,Y,4,F,
,TAHAO ROAD,Y,5,P,
,RAWIS A,Y,2,E,
,POLANGUI,N,0,F,
,L2,N,0,F,
,CAMALIG,N,0,P,
,OAS,Y,1,F,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,4,P,
,ALTERNATE,Y,2,P,
,RAWIS B,Y,2,E,
6:30 – 6:45 AM,TAHAO ROAD,Y,5,E,15
,ALTERNATE,Y,3,P,
,DIRETSO,Y,4,E,
,RAWIS B,Y,3,P,
,RAWIS A,Y,2,E,
,POLANGUI,N,0,F,
,LIGAO,N,0,P,
,TAHAO ROAD,Y,3,P,
,OAS,N,0,F,
,CAMALIG,Y,1,P,
,L2,Y,1,E,
,TAHAO ROAD,Y,4,F,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,2,P,
6:45 – 7:00 AM,TAHAO ROAD,Y,7,P,28
,RAWIS A,Y,3,P,
,ALTERNATE,Y,4,P,
,DIRETSO,Y,5,P,
,TAHAO ROAD,Y,6,E,
,RAWIS B,Y,3,P,
,POLANGUI,Y,1,F,
,L2,N,0,E,
,OAS,N,0,F,
,TAHAO ROAD,Y,5,P,
,ALTERNATE,Y,3,P,
,LIGAO,N,0,P,
,CAMALIG,N,0,P,
,DIRETSO,Y,3,P,
,TAHAO ROAD,Y,8,E,
,RAWIS A,Y,2,P,
7:00 – 7:15 AM,TAHAO ROAD,Y,8,P,32
,ALTERNATE,Y,5,P,
,DIRETSO,Y,4,P,
,RAWIS A,Y,3,P,
,TAHAO ROAD,Y,6,P,
,RAWIS B,N,0,P,
,L1,Y,2,E,
,CAMALIG,N,0,P,
,TAHAO ROAD,Y,7,P,
,OAS,N,0,F,
,LIGAO,N,0,P,
,ALTERNATE,Y,3,P,
,DIRETSO,Y,3,P,
,TAHAO ROAD,Y,5,E,
,RAWIS B,Y,2,E,
,L2,N,0,P,
7:15 – 7:30 AM,TAHAO ROAD,Y,6,P,24
,ALTERNATE,Y,4,P,
,DIRETSO,Y,3,E,
,RAWIS A,Y,2,P,
,TAHAO ROAD,Y,5,P,
,RAWIS B,Y,2,E,
,TAHAO ROAD,N,0,P,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,3,P,
,TAHAO ROAD,Y,7,E,
,L2,N,0,P,
,GUINOBATAN,Y,1,P,
,RAWIS B,Y,1,P,
,TAHAO ROAD,Y,4,P,
7:30 – 7:45 AM,TAHAO ROAD,Y,5,P,22
,ALTERNATE,Y,3,P,
,DIRETSO,Y,3,P,
,RAWIS B,Y,2,P,
,TAHAO ROAD,Y,4,E,
,RAWIS A,Y,1,P,
,POLANGUI,N,0,P,
,LIGAO,N,0,P,
,ALTERNATE,Y,2,P,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,3,P,
,CAMALIG,N,0,P,
,RAWIS B,Y,2,E,
7:45 – 8:00 AM,TAHAO ROAD,Y,4,P,18
,RAWIS B,Y,2,E,
,ALTERNATE,Y,2,P,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,3,P,
,RAWIS A,Y,1,P,
,CAMALIG,N,0,P,
,TAHAO ROAD,Y,3,E,
,DIRETSO,N,0,P,
,ALTERNATE,Y,1,P,
,,,,,
DARAGA PUBLIC MARKET,,,,,
"August 17, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
11:00 – 11:15 AM,TAHAO ROAD,Y,4,E,26
,DIRETSO,Y,3,P,
,ALTERNATE,Y,5,F,
,RAWIS A,Y,2,F,
,RAWIS B,Y,2,P,
,LIGAO,Y,2,E,
,TAHAO ROAD,N,0,P,
,CAMALIG,Y,1,P,
,OAS,N,0,E,
,TAHAO ROAD,Y,5,F,
,ALTERNATE,N,0,F,
,DIRETSO,Y,2,F,
,RAWIS B,N,0,F,
,TAHAO ROAD,Y,3,P,
11:15 – 11:30 AM,ALTERNATE,Y,7,F,32
